,cv,type,ru,,
,патша ,noun,царь,,
,сĕнк ,verb,дремать,,
,сĕнк ,verb,клевать носом,,
,сĕнк ,nonetype,опускать голову,,
,сĕнк ,verb,потупиться,,
,тĕрке ,noun,кипа,,
,тĕрке ,noun,рулон,,
,тĕрке ,nonetype,сверток,,
,тĕрке ,noun,тюк,,
,тĕрке ,noun masculine,узел,,
,хурăнташ ,noun particle,родня,,
,хурăнташ ,noun,родственник,,
,çăвăр ,nonetype,детва,,
,çăвăр ,nonetype,детеныш,,
,çăвăр ,noun verb masculine,рой,,
,пушар ,noun masculine,пожар,,
,пушар ,adjective masculine,пожарный,,
,хунав ,adjective,мелкий,,
,хунав ,adjective,молодой,,
,хунав ,noun masculine,побег,,
,хунав ,nonetype,поросль,,
,хунав ,noun masculine,росток,,
,исленчĕк ,noun,мокрый,,
,пĕрре ,pronoun masculine,один,,
,пĕрре ,numeral,раз,,
,Кăнтăр Каролина ,proper feminine,Южная Каролина,,
,Намдэмун хапхи ,nonetype,Суннемун,,
,чĕрчун ,nonetype,живое существо,,
,чĕрчун ,nonetype,живой организм,,
,чĕрчун ,noun neuter,животное,,
,чĕрчун ,noun masculine,зверь,,
,чĕрчун ,noun feminine,скотина,,
,чĕрчун ,noun feminine,тварь,,
,нĕрсĕрлет ,nonetype,безобразить,,
,нĕрсĕрлет ,verb,уродовать,,
,муклашка ,noun feminine,колода,,
,муклашка ,noun masculine,ком,,
,муклашка ,noun,комок,,
,муклашка ,noun,чурбан,,
,мечĕк ,noun masculine,мяч,,
,мечĕк ,noun,мячик,,
,çĕрт ,nonetype,гноить,,
,çĕрт ,verb,позорить,,
,çĕрт ,verb,порочить,,
,лапам ,noun feminine,низина,,
,лапам ,nonetype,ложбина,,
,лапам ,noun,лощина,,
,лапам ,nonetype,низинный,,
,лапам ,adjective,низменный,,
,хаваслă ,adjective adverb,весело,,
,хаваслă ,nonetype,веселый,,
,хаваслă ,adjective,гостеприимный,,
,хаваслă ,adjective adverb,радостно,,
,хаваслă ,adjective,радостный,,
,хаваслă ,adverb,радушно,,
,хаваслă ,adjective,радушный,,
,хаваслă ,adverb,с удовольствием,,
,Луизиана ,proper feminine,Луизиана,,
,Луизиана ,nonetype,луизиана,,
,мӑй ,noun feminine,шея,,
,Спартак ,masculine,Спартак,,
,кăнтăр европа ,nonetype,южная европа,,
,кăнтăр европа ,proper feminine,Южная Европа,,
,Тютчев Фёдор Иванович ,nonetype,Фёдор Иванович Тютчев,,
,Сократ ,proper masculine,Сократ,,
,Сократ ,nonetype,сократ,,
,Афин ,proper feminine,Афины,,
,Афин ,nonetype,афины,,
,Кейӳ вокзалĕ ,nonetype,Киевский вокзал,,
,имлĕ курăкĕ ,noun masculine,женьшень,,
,Литва ,proper feminine,Литва,,
,Литва ,nonetype,литва,,
,сунтал ,noun feminine,наковальня,,
,сунтал ,nonetype,Наковальня,,
,Халăхсен аслă хускалăвĕ ,nonetype,Великое переселение народов,,
,Вандалсем ,nonetype,Вандалы,,
,кĕпе ,noun feminine,рубашка,,
,кĕпе ,noun,сорочка,,
,сăхă ,adjective,алчный,,
,сăхă ,adjective,жадный,,
,тăпра ,noun feminine,земля,,
,тăпра ,noun masculine,грунт,,
,тăпра ,adjective,грунтовый,,
,тăпра ,adjective,земляной,,
,тăпра ,noun feminine,почва,,
,тăпра ,adjective,почвенный,,
,ÿпкеле ,verb,жаловаться,,
,ÿпкеле ,verb,роптать,,
,ÿпкеле ,verb,укорять,,
,ÿпкеле ,verb,упрекать,,
,шăм-шак ,noun verb,кости,,
,шăм-шак ,noun masculine,скелет,,
,шăм-шак ,noun neuter,тело,,
,шăм-шак ,noun neuter,туловище,,
,шупкалан ,verb,выгорать,,
,шупкалан ,verb,выцветать,,
,шупкалан ,verb,розоветь,,
,шупкалан ,nonetype,становиться розовым,,
,мăкăрăлчăк ,adjective,выпуклый,,
,мăкăрăлчăк ,nonetype,вьшуклость,,
,сехĕрлен ,verb,бояться,,
,сехĕрлен ,verb,страшиться,,
,сехĕрлен ,verb,ужасаться,,
,çитĕнÿ ,noun,достижение,,
,çитĕнÿ ,noun,успех,,
,хăта ,noun,сват,,
,шалта ,adverb,внутри,,
,шалта ,nonetype,в глубине,,
,ырлăх ,noun,благополучие,,
,ырлăх ,noun,благосостояние,,
,ырлăх ,noun adjective adverb,добро,,
,ырлăх ,noun,доброта,,
,ырлăх ,noun,достаток,,
,пăта ,noun masculine,гвоздь,,
,пăта ,noun,кол,,
,пăта ,noun,колышек,,
,пăта ,noun masculine,гвоздь,,
,çаврашка ,noun masculine,круг,,
,çаврашка ,adjective,круглый,,
,çаврашка ,adjective,округлый,,
,тÿрĕ ,adjective,гладкий,,
,тÿрĕ ,noun,ровный,,
,тÿрĕ ,adjective adverb,правдиво,,
,тÿрĕ ,adjective,правдивый,,
,тÿрĕ ,adjective adverb,прямо,,
,тÿрĕ ,adjective noun,прямой,,
,тÿрĕ ,adjective adverb,честно,,
,тÿрĕ ,adjective,честный,,
,чуххăм ,nonetype,на глаз,,
,чуххăм ,adverb,наугад,,
,чуххăм ,nonetype,необдуманно,,
,чуххăм ,adjective adverb,приблизительно,,
,чуххăм ,adjective adverb,примерно,,
,шăрăх ,adjective,горячий,,
,шăрăх ,adjective adverb,горячо,,
,шăрăх ,noun,жар,,
,шăрăх ,noun,жара,,
,шăрăх ,adjective,жаркий,,
,шăрăх ,adjective adverb,жарко,,
,шăрăх ,noun,зной,,
,шăрăх ,adjective,знойно,,
,шăрăх ,adjective,знойный,,
,яр ,verb,выпускать,,
,яр ,verb,класть,,
,яр ,verb impf,лить,,
,яр ,verb,отправлять,,
,яр ,verb,отпускать,,
,яр ,nonetype,положить во что-л.,,
,яр ,verb,посылать,,
,яр ,verb,пускать,,
,яр ,verb,упускать,,
,пуян ,adjective adverb,богато,,
,пуян ,adjective,богатый,,
,пуян ,noun,богач,,
,сулахай ,adjective,левый,,
,усал ,noun,бедствие,,
,усал ,noun,вред,,
,усал ,adjective,вредный,,
,усал ,noun adjective,зло,,
,усал ,adjective,злой,,
,усал ,adjective,недобрый,,
,усал ,noun,несчастье,,
,усал ,nonetype,нечистая сила,,
,усал ,noun,черт,,
,хĕсĕн ,verb,застревать,,
,хĕсĕн ,nonetype,испытывать недостаток в чем-л.,,
,хĕсĕн ,verb,сжиматься,,
,хĕсĕн ,verb,сужаться,,
,шăтăк ,noun feminine,дыра,,
,шăтăк ,noun neuter,отверстие,,
,шăтăк ,noun feminine,яма,,
,шăтăк ,noun feminine,дырка,,
,шăтăк ,noun,лаз,,
,шăтăк ,verb,проем,,
,шăтăк ,noun,расщелина,,
,шăтăк ,noun feminine,щель,,
,ял ,noun masculine,аул,,
,ял ,noun neuter,село,,
,ял ,noun feminine,деревня,,
,ял ,adjective,деревенский,,
,ял ,adjective,сельский,,
,ял ,nonetype,Деревня,,
,ял ,noun verb neuter,село,,
,вӗсем ,pronoun,они,,
,Вильнюс ,proper masculine,Вильнюс,,
,Вильнюс ,nonetype,вильнюс,,
,Гагарин Юрий Алексеевич ,nonetype,Юрий Алексеевич Гагарин,,
,пӗҫӗ ,noun neuter,бедро,,
,Абрамович Роман Аркадьевич ,nonetype,Роман Аркадьевич Абрамович,,
,Советск ,nonetype,Советск,,
,украина ,nonetype,украина,,
,украина ,proper feminine,Украина,,
,мăран ,nonetype,бездеятельный,,
,мăран ,adjective adverb,лениво,,
,мăран ,adjective,ленивый,,
,мăран ,adjective,нерадивый,,
,пустуй ,adverb,напрасно,,
,пустуй ,adjective,напрасный,,
,курăк ,noun feminine,трава,,
,курăк ,adjective,травяной,,
,çаклат ,verb,задевать,,
,çаклат ,nonetype,закрывать на запор,,
,çаклат ,verb,запирать,,
,çаклат ,verb,зацеплять,,
,çаклат ,verb,цеплять,,
,çуха ,noun masculine,воротник,,
,çуха ,noun masculine,ворот,,
,çуха ,nonetype,Воротник,,
,тÿлевлĕ ,adjective,платный,,
,чăваш ,noun,чуваш,,
,чăваш ,adjective,чувашский,,
,эртел ,noun,артель,,
,эртел ,nonetype,артельный,,
,çĕмрĕк ,adjective,неисправный,,
,çĕмрĕк ,noun,обломок,,
,çĕмрĕк ,noun,осколок,,
,çĕмрĕк ,adjective particle,разбитый,,
,çĕмрĕк ,particle,расколотый,,
,çĕмрĕк ,particle,сломанный,,
,çыхăнтар ,verb,связывать,,
,çыхăнтар ,verb,соединять,,
,хисеп ,noun neuter,количество,,
,хисеп ,noun neuter,число,,
,хисеп ,adjective,количественный,,
,хисеп ,nonetype,почет,,
,хисеп ,nonetype,почетный,,
,хисеп ,noun,счет,,
,хисеп ,nonetype,счетный,,
,хисеп ,noun neuter,уважение,,
,хисеп ,noun feminine,честь,,
,хисеп ,adjective,числовой,,
,хисеп ,nonetype,грамматическое число,,
,хисеп ,noun neuter,число,,
,черченлен ,nonetype,ломким,,
,черченлен ,nonetype,становиться нежным,,
,черченлен ,nonetype,становиться хрупким,,
,янк ,adverb,настежь,,
,янк ,adverb,отчетливо,,
,янк ,adverb,полностью,,
,янк ,adverb,совсем,,
,янк ,adjective adverb,ясно,,
,кус ,verb,вращаться,,
,кус ,verb,катиться,,
,сĕтлĕ ,adjective,молочный,,
,сĕтлĕ ,nonetype,удойный,,
,çарат ,verb,воровать,,
,çарат ,verb,грабить,,
,çарат ,verb,опустошить,,
,çарат ,verb,освобождать,,
,çарат ,verb,разорять,,
,татăк ,noun,кусок,,
,татăк ,noun,лоскут,,
,татăк ,noun,обрезок,,
,татăк ,noun,обрывок,,
,татăк ,noun feminine,частица,,
,ÿрĕк-сÿрĕк ,adjective verb adverb,вяло,,
,ÿрĕк-сÿрĕк ,adjective,вялый,,
,ÿрĕк-сÿрĕк ,adjective adverb,лениво,,
,ÿрĕк-сÿрĕк ,adjective,ленивый,,
,ÿрĕк-сÿрĕк ,nonetype,медлительно,,
,ÿрĕк-сÿрĕк ,adjective,медлительный,,
,чĕрт ,verb,воскрешать,,
,чĕрт ,verb,вылечивать,,
,чĕрт ,verb,выращивать,,
,чĕрт ,verb,зажигать,,
,чĕрт ,nonetype,затапливать,,
,чĕрт ,verb,исцелять,,
,чĕрт ,verb,оживлять,,
,чĕрт ,nonetype,откармливать,,
,чĕрт ,verb,поджигать,,
,чĕрт ,verb,прикуривать,,
,чĕрт ,verb,разжигать,,
,чĕрт ,verb,растить,,
,чĕрт ,verb,топить,,
,яв ,verb impf,плести,,
,яв ,verb,вить,,
,яв ,verb,свивать,,
,пăчлан ,verb,вымирать,,
,пăчлан ,verb,исчезать,,
,пăчлан ,verb,пропадать,,
,-ç ,adposition,от,,
,çывахран ,adjective adverb,близко,,
,çывахран ,nonetype,с близкого расстояния,,
,тĕшĕр ,verb,мять,,
,тĕшĕр ,verb,рушить,,
,тĕшĕр ,verb,сокрушать,,
,тĕшĕр ,verb,топтать,,
,чăлха ,noun masculine,носок,,
,чăлха ,noun masculine,чулок,,
,чăлха ,nonetype,чулочный,,
,чăлха ,nonetype,Носок,,
,шарлак ,nonetype,быстрина,,
,шарлак ,noun masculine,водопад,,
,шарлак ,nonetype,перекат,,
,шарлак ,noun,порог,,
,шарлак ,nonetype,стремнина,,
,франци ,noun masculine,франций,,
,франци ,noun,франция,,
,франци ,noun feminine,Франция,,
,франци ,noun,франций,,
,Назым Хикмет Ран ,nonetype,Назым Хикмет,,
,висмут ,noun masculine,висмут,,
,висмут ,noun masculine,висмут,,
,Маркис де Сад ,nonetype,Маркиз де Сад,,
,-па ,noun,с,,
,-па ,adposition,со,,
,кавир ,noun masculine,ковёр,,
,кавир ,noun,ковер,,
,кавир ,adjective,ковровый,,
,кавир ,nonetype,Ковёр,,
,шутлама ,verb impf,думать,,
,шутлама ,verb impf,мыслить,,
,шутлама ,verb,размышлять,,
,шутлама ,verb impf,считать,,
,Берлин ,noun masculine,Берлин,,
,Берлин ,nonetype,берлин,,
,союз ,noun masculine,союз,,
,союз ,noun,союз,,
,Акаба ,nonetype,Акаба,,
,пама ,verb,давать,,
,пама ,verb pf,дать,,
,испан чĕлхи ,proper masculine,испанский язык,,
,испан чĕлхи ,proper masculine,испанский,,
,испан чĕлхи ,nonetype,Испанский язык,,
,ешĕль ,noun masculine,зелёный,,
,шу ,noun feminine,вода,,
,шу ,verb,ползать,,
,шу ,verb,скользить,,
,куç ,noun masculine,глаз,,
,куç ,noun neuter,око,,
,куç ,noun,взгляд,,
,куç ,noun,взор,,
,куç ,noun,глаза,,
,куç ,verb,перебираться,,
,куç ,verb,переезжать,,
,куç ,verb,перемещаться,,
,куç ,verb,переходить,,
,куç ,noun masculine,глаз,,
,нÿрет ,nonetype,делать сырым,,
,нÿрет ,verb,увлажнять,,
,сарăп ,noun,вред,,
,сарăп ,noun adjective,зло,,
,сарăп ,noun,урон,,
,сарăп ,noun,ущерб,,
,сÿ ,verb,драть,,
,сÿ ,verb,лупить,,
,сÿ ,nonetype,ошкуривать,,
,сÿ ,verb,сдирать,,
,тĕреклен ,verb,укрепляться,,
,тĕреклен ,verb,улучшаться,,
,хуш ,verb,велеть,,
,хуш ,verb,добавлять,,
,хуш ,verb,поручать,,
,хуш ,verb,прибавлять,,
,хуш ,verb,приказывать,,
,хуш ,verb,присоединять,,
,чăрсăр ,noun adjective adverb,лихо,,
,чăрсăр ,adjective,лихой,,
,чăрсăр ,adverb,отчаянно,,
,чăрсăр ,adjective,отчаянный,,
,шут ,noun neuter,количество,,
,шут ,noun,желание,,
,шут ,adjective,количественный,,
,шут ,noun,намерение,,
,шут ,nonetype,счеты,,
,шут ,noun verb,цель,,
,шут ,noun neuter,число,,
,Таллин ,proper masculine,Таллин,,
,Таллин ,proper feminine,Колывань,,
,Таллин ,proper masculine,Ревель,,
,Таллин ,proper masculine,Таллинн,,
,Таллин ,nonetype,Талинн,,
,мăшкăл ,nonetype,глумление,,
,мăшкăл ,adjective,издевательский,,
,мăшкăл ,noun,издевательство,,
,мăшкăл ,noun,позор,,
,мăшкăл ,adjective,позорный,,
,мăшкăл ,adjective,постыдный,,
,мăшкăл ,noun,срам,,
,мăшкăл ,noun,стыд,,
,пăру ,nonetype,теленок,,
,пăру ,noun,телка,,
,пăру ,nonetype,телячий,,
,тăнла ,verb,вдумываться,,
,тăнла ,verb,вникать,,
,тăнла ,verb,вслушиваться,,
,тăнла ,verb,прислушиваться,,
,урапа ,noun,воз,,
,урапа ,nonetype,колесный,,
,урапа ,noun neuter,колесо,,
,урапа ,noun,подвода,,
,урапа ,noun,телега,,
,чапрас ,adjective adverb,косо,,
,чапрас ,adjective noun,косой,,
,чапрас ,adjective adverb,криво,,
,чапрас ,adjective,кривой,,
,чирлесе ирттер ,nonetype,проболеть,,
,мăкăртат ,verb,бормотать,,
,мăкăртат ,verb,брюзжать,,
,мăкăртат ,verb,ворчать,,
,перекетлĕ ,nonetype,бережливо,,
,перекетлĕ ,adjective,бережливый,,
,перекетлĕ ,adverb,экономно,,
,перекетлĕ ,adjective,экономный,,
,сĕм ,noun,нюанс,,
,сĕм ,noun,оттенок,,
,сĕм ,noun,подобие,,
,сĕм ,noun,сознание,,
,сĕм ,noun,сумрак,,
,сĕм ,adjective,сумрачный,,
,сĕм ,noun,сходство,,
,сĕм ,noun feminine,темнота,,
,сĕм ,nonetype,темный,,
,сĕм ,noun feminine,тьма,,
,сĕм ,noun,чутье,,
,çиллентер ,verb,злить,,
,çиллентер ,verb,сердить,,
,тÿшек ,noun,матрац,,
,тÿшек ,noun,перина,,
,тÿшек ,nonetype,тюфяк,,
,хăлха ,noun neuter,ухо,,
,хăлха ,noun,дужка,,
,хăлха ,noun feminine,ручка,,
,хăлха ,noun masculine,слух,,
,хăлха ,noun,уши,,
,хăлха ,noun neuter,ушко,,
,хăлха ,adjective,ушной,,
,хăлха ,noun neuter,ухо,,
,чечен ,noun,изящество,,
,чечен ,adjective adverb,изящно,,
,чечен ,adjective,изящный,,
,чечен ,adjective adverb,красиво,,
,чечен ,adjective,красивый,,
,чечен ,noun,красота,,
,шăршă-маршă ,noun,запахи,,
,малашнехи ,noun,будущее,,
,малашнехи ,adjective,будущий,,
,малашнехи ,noun,грядущее,,
,малашнехи ,adjective particle,предстоящий,,
,мĕкĕр ,verb,реветь,,
,мĕкĕр ,nonetype,рыкать,,
,мĕкĕр ,verb,рычать,,
,сăрăлтат ,verb,гудеть,,
,сăрăлтат ,verb,знобить,,
,сăрăлтат ,verb,ныть,,
,сăрăлтат ,verb,пробегать,,
,синкер ,noun,беда,,
,синкер ,noun adjective,зло,,
,синкер ,noun,несчастье,,
,çÿхе ,nonetype,легкий,,
,çÿхе ,adjective adverb,легко,,
,çÿхе ,adjective,тонкий,,
,çÿхе ,adjective adverb,тонко,,
,ушкăн ,noun feminine,группа,,
,ушкăн ,adjective,групповой,,
,ушкăн ,adjective,коллективный,,
,ушкăн ,noun,компания,,
,ушкăн ,noun feminine,толпа,,
,хыпалантар ,verb impf,торопить,,
,хыпалантар ,verb,подгонять,,
,шăйрăл ,nonetype,обдираться,,
,шăйрăл ,nonetype,получать ссадины,,
,шăйрăл ,nonetype,царапаться,,
,янкар ,noun,гниль,,
,янкар ,noun,дымка,,
,янкар ,noun,марево,,
,янкар ,nonetype,прель,,
,янкар ,noun,труха,,
,янкар ,noun,туман,,
,çирма ,noun feminine,река,,
,ăшă ,adjective,тёплый,,
,ăшă ,noun,тепло,,
,ăшă ,adjective,теплый,,
,инди ,noun masculine,индий,,
,инди ,noun,индия,,
,инди ,proper feminine,Индия,,
,инди ,noun masculine,индий,,
,Павлова Анна Павловна ,nonetype,Анна Павловна Павлова,,
,роди ,noun masculine,родий,,
,роди ,noun masculine,родий,,
,япони ,nonetype,япония,,
,япони ,proper, noun feminine,Япония,,
,транслитераци ,noun feminine,транслитерация,,
,транслитераци ,noun,транслитерация,,
,ньюфаундленд ,nonetype,ньюфаундленд,,
,Пушту ,nonetype,Пушту,,
,Пушту ,proper masculine,пашто,,
,Пушту ,proper masculine,пушту,,
,çума ,verb impf,мыть,,
,çума ,verb,умывать,,
,циркони ,noun masculine,цирконий,,
,Маркомансем ,nonetype,Маркоманы,,
,юра ,nonetype,быть годным,,
,юра ,nonetype,быть полезным,,
,юра ,verb,годиться,,
,юра ,verb,угождать,,
,юра ,noun,юра,,
,юра ,proper,Юра,,
,аффикс ,noun masculine,аффикс,,
,Пĕтĕм тĕнчери чăтăмлăх кунĕ ,nonetype,Международный день,,
,шампанское ,noun neuter,шампанское,,
,лима ,nonetype,лима,,
,лима ,proper feminine,Лима,,
,сивлек вăрçă ,proper feminine,холодная война,,
,çапǎç ,verb impf,биться,,
,çапǎç ,verb impf,бороться,,
,çыравçă ,noun masculine,писатель,,
,çыравçă ,noun masculine,писатель,,
,мотоцикл ,noun masculine,мотоцикл,,
,мотоцикл ,noun masculine,мотоцикл,,
,кĕтсе ил ,verb,встретить,,
,кĕтсе ил ,verb,дождаться,,
,мухтавлă ,adjective,высокий,,
,мухтавлă ,adjective,знаменитый,,
,мухтавлă ,nonetype,почетный,,
,мухтавлă ,adjective particle,прославленный,,
,паха ,adjective,добротный,,
,паха ,adjective masculine,дорогой,,
,паха ,adjective,хороший,,
,паха ,adjective,ценный,,
,пушăлла ,nonetype,без груза,,
,пушăлла ,nonetype,порожняком,,
,сип ,noun,польза,,
,сип ,noun,прок,,
,çĕклен ,verb,возвышаться,,
,çĕклен ,verb,выситься,,
,çĕклен ,nonetype,двигаться вверх,,
,çĕклен ,verb,начаться,,
,çĕклен ,verb,подниматься,,
,çĕклен ,verb,подняться,,
,тĕпеакай ,nonetype,подпол,,
,тĕпеакай ,noun,подполье,,
,харăс ,adverb,враз,,
,харăс ,nonetype,все вместе,,
,харăс ,adjective adverb,дружно,,
,харăс ,adjective adverb,одновременно,,
,харăс ,adverb,сразу,,
,чавса ,noun masculine,локоть,,
,чавса ,adjective,локтевой,,
,чавса ,noun,предплечье,,
,чее ,adjective adverb,лукаво,,
,чее ,adjective proper,лукавый,,
,чее ,noun,хитрец,,
,чее ,adjective adverb,хитро,,
,чее ,adjective,хитрый,,
,шалти ,adjective,внутренний,,
,шалти ,adjective,глубинный,,
,пархатар ,noun adjective conjunction,благо,,
,пархатар ,noun adjective adverb,добро,,
,пархатар ,noun,польза,,
,пархатар ,noun,счастье,,
,пархатар ,noun,толк,,
,пин ,numeral,тысяча,,
,сехĕрлентер ,verb,пугать,,
,сехĕрлентер ,nonetype,страшить,,
,суха ту ,verb,пахать,,
,тăрăхла ,adposition,вдоль,,
,тăрăхла ,adjective,длинный,,
,тăрăхла ,adjective,продолговатый,,
,тиев ,noun masculine,груз,,
,тиев ,nonetype,поклажа,,
,халал ,noun neuter,благословение,,
,халал ,noun neuter,завещание,,
,хастарлăх ,noun,отвага,,
,хастарлăх ,noun,рвение,,
,хастарлăх ,noun,решительность,,
,хастарлăх ,noun,старание,,
,хастарлăх ,noun,усердие,,
,хастарлăх ,noun,храбрость,,
,чăм ,verb pf,нырнуть,,
,чăм ,nonetype,жбан,,
,чăм ,noun,кувшин,,
,чăм ,verb impf,нырять,,
,чĕрĕп ,noun,еж,,
,чĕрĕп ,nonetype,ежовый,,
,чĕрĕп ,nonetype,лесные ежи,,
,чĕрĕп ,noun masculine,ёж,,
,шăнăр ,noun verb,жила,,
,шăнăр ,noun,связка,,
,шăнăр ,noun,сухожилие,,
,ман ,nonetype,1. мой 9 моя , моё , мои),,
,ман ,pronoun verb,мой,,
,ман ,verb,забывать,,
,ман ,verb,отвыкать,,
,ман ,verb,разучиться,,
,паттăрлан ,nonetype,мужественным,,
,паттăрлан ,nonetype,становиться храбрым,,
,паттăрлан ,nonetype,храбриться,,
,пăхăн ,verb,повиноваться,,
,пăхăн ,verb,подчиняться,,
,сĕмсĕррĕн ,adjective,дерзко,,
,сĕмсĕррĕн ,adjective adverb,нагло,,
,сĕмсĕррĕн ,adjective adverb,нахально,,
,су ,verb,доить,,
,су ,verb,почитать,,
,су ,verb,считать,,
,су ,verb,чтить,,
,çун ,verb,гореть,,
,çун ,verb,пылать,,
,çун ,verb,светить,,
,уна ,verb,катать,,
,уна ,verb,раскатывать,,
,хал ,noun,бодрость,,
,хал ,noun feminine,сила,,
,хал ,noun,энергия,,
,хăшĕ-пĕри ,pronoun,кое-кто,,
,хăшĕ-пĕри ,adjective pronoun,некоторые,,
,чарлан ,noun feminine,цапля,,
,чарлан ,noun feminine,чайка,,
,чун ,noun feminine,душа,,
,чун ,adjective,душевный,,
,шăйăр ,verb,обдирать,,
,шăйăр ,verb,сдирать,,
,шăйăр ,verb,царапать,,
,майлă ,nonetype,подходяще,,
,майлă ,adjective particle,подходящий,,
,майлă ,adjective adverb,удобно,,
,майлă ,adjective,удобный,,
,мăшлат ,verb,пыхтеть,,
,мăшлат ,verb,сопеть,,
,мăшлат ,nonetype,шумно дышать,,
,пăт ,noun,пуд,,
,пăт ,nonetype,пудовый,,
,пусăм ,noun,давление,,
,пусăм ,noun,напор,,
,пусăм ,noun,шаг,,
,сисĕм ,noun,ощущение,,
,сисĕм ,noun,чувство,,
,сисĕм ,noun,чутье,,
,сывă пулăр ,interjection,будьте здоровы,,
,тĕпчев ,noun,исследование,,
,тĕпчев ,noun,опыт,,
,тĕпчев ,noun,эксперимент,,
,ÿпĕн ,verb,наваливаться,,
,ÿпĕн ,verb,налегать,,
,ÿпĕн ,verb,опрокидываться,,
,ÿпĕн ,nonetype,перевертываться,,
,хушăран ,adverb,изредка,,
,хушăран ,adverb,кое-где,,
,хушăран ,adverb,кое-когда,,
,хушăран ,noun,местами,,
,чухăнлăх ,noun feminine,бедность,,
,чухăнлăх ,noun feminine,нищета,,
,чухăнлăх ,nonetype,убогость,,
,чуп ,verb,бежать,,
,чуп ,verb,бегать,,
,чуп ,verb,ездить,,
,чуп ,verb,кататься,,
,чуп ,verb pf,побегать,,
,чуп ,verb pf,побежать,,
,чуп ,verb,разъезжать,,
,вальпурги каçĕ ,nonetype,вальпургиева ночь,,
,Хула ,nonetype,Город,,
,Хула ,noun masculine,город,,
,Хула ,noun masculine,посёлок,,
,Хула ,noun masculine,городок,,
,Хула ,noun neuter,местечко,,
,Хула ,adjective masculine,городской,,
,Хула ,noun masculine,град,,
,Хула ,noun masculine,сити,,
,Хула ,noun masculine,центр,,
,европа пĕрлешĕвĕ ,nonetype,европейский союз,,
,европа пĕрлешĕвĕ ,masculine,Европейский Союз,,
,европа пĕрлешĕвĕ ,proper masculine,Европейский союз,,
,европа пĕрлешĕвĕ ,proper masculine,Евросоюз,,
,Япон чĕлхи ,nonetype,Японский язык,,
,Япон чĕлхи ,nonetype,японский язык,,
,Исланди ,noun feminine,Исландия,,
,Исланди ,nonetype,исландия,,
,лоуренси ,noun masculine,лоуренсий,,
,лоуренси ,noun,лоуренсий,,
,марганец ,noun masculine,марганец,,
,марганец ,noun masculine,марганец,,
,портвейн ,noun,портвейн,,
,геометри ,noun feminine,геометрия,,
,геометри ,nonetype,Геометрия,,
,геометри ,noun,геометрия,,
,чав ,verb impf,царапать,,
,чав ,nonetype,скрябать,,
,чав ,verb impf,чесать,,
,чав ,verb,копать,,
,чав ,verb,рыть,,
,касма ,verb,резать,,
,касма ,verb,рубить,,
,теме ,verb impf,говорить,,
,теме ,verb,поведать,,
,теме ,verb pf,сказать,,
,çарттан ,noun feminine,щука,,
,хӗвел ,noun neuter,солнце,,
,хӗвел ,noun neuter,Солнце,,
,университет ,noun masculine,университет,,
,университет ,noun,университет,,
,пушхир ,noun feminine,пустыня,,
,пушхир ,noun,пустыня,,
,ут ,noun masculine,конь,,
,ут ,noun feminine,лошадь,,
